date,open,high,low,close,volume,minutes
2017-01-26,37.58,37.58,37.41,37.44,5.724999987985939,390
2017-01-27,37.41,37.51,37.3,37.46,4.725169991143048,390
2017-01-30,37.19,37.27,37.11,37.25,21.89368495158851,390
2017-01-31,37.27,37.4,37.2,37.33,28.115176878869534,390
2017-02-01,37.47,37.55,37.26,37.37,8.728900023270398,390
2017-02-02,37.48,37.55,37.42,37.53,218.92693759314716,390
2017-02-03,37.677,37.81,37.597,37.74,214.9987206379883,390
2017-02-06,37.697,37.74,37.626,37.67,321.1018002270721,390
2017-02-07,37.57,37.61,37.43,37.47,149.1779628819786,390
2017-02-08,37.485,37.73,37.48,37.7,15.060294001363218,390
2017-02-09,37.858,37.92,37.81,37.88,27.908259934280068,390
2017-02-10,37.949,38.21,37.94,38.21,33.30613018479198,390
2017-02-13,38.196,38.37,38.196,38.336,35.58969011111185,390
2017-02-14,38.329,38.37,38.03,38.37,45.51290032733232,390
2017-02-15,38.39,38.7,38.36,38.69,31.015630022622645,390
2017-02-16,38.718,38.72,38.52,38.53,7.248409971129149,390
2017-02-17,38.249,38.388,38.22,38.39,109.371389742475,390
2017-02-21,38.617,38.81,38.59,38.81,27.3505098647438,390
2017-02-22,38.738,38.92,38.73,38.91,42.44640979170799,390
2017-02-23,39.125,39.13,38.88,38.93,7.1218600226566195,390
2017-02-24,38.456,38.55,38.42,38.48,26.81313283368945,390
2017-02-27,38.368,38.47,38.27,38.34,5.613590016961098,390
2017-02-28,38.308,38.31,37.98,38.0,8.32553002377972,390
2017-03-01,38.285,38.59,38.28,38.589,6.7165199890732765,390
2017-03-02,38.197,38.25,37.89,37.9,13.667700003366917,390
2017-03-03,38.076,38.22,37.96,38.2,13.893689938355237,390
2017-03-06,38.248,38.23,38.09,38.21,30.694458841346204,390
2017-03-07,38.327,38.34,38.18,38.25,15.923389966133982,390
2017-03-08,38.156,38.21,37.86,37.9,8.011415014509112,390
2017-03-09,37.7,37.75,37.39,37.59,9.737070010509342,390
2017-03-10,37.877,38.0,37.8,38.0,30.066719950642437,390
2017-03-13,38.401,38.56,38.368,38.52,3725.3969748853706,390
2017-03-14,38.419,38.46,38.29,38.33,4388.618158584461,390
2017-03-15,38.498,39.37,38.41,39.33,22.060245021712035,390
2017-03-16,39.589,39.63,39.44,39.55,10.509393041953444,390
2017-03-17,39.61,39.6,39.46,39.52,3.5599999334663153,390
2017-03-20,39.71,40.05,39.68,39.97,3.249999927356839,390
2017-03-21,40.15,40.22,39.48,39.49,8.029999880120158,390
2017-03-22,39.43,39.78,39.38,39.71,6.7699998784810305,390
2017-03-23,39.59,39.83,39.55,39.7,6.959999896585941,390
2017-03-24,39.67,39.87,39.67,39.83,9.43431995343417,390
2017-03-27,39.53,39.758,39.43,39.708,4.729999912902713,390
2017-03-28,39.689,39.91,39.678,39.797,4.229999922215939,390
2017-03-29,39.718,39.897,39.677,39.869,2.939999956637621,390
2017-03-30,39.709,39.818,39.636,39.666,2.1199999544769526,390
2017-03-31,39.396,39.468,39.308,39.366,2.709999954327941,390
2017-04-03,39.53,39.639,39.356,39.62,288.7392495237291,390
2017-04-04,39.528,39.68,39.446,39.639,292.91615172475576,390
2017-04-05,39.789,39.89,39.487,39.5,342.0554261729121,390
2017-04-06,39.455,39.529,39.316,39.42,350.8092013853602,390
2017-04-07,39.345,39.538,39.326,39.378,356.69980555493385,390
2017-04-10,39.208,39.238,39.086,39.209,299.35169277200475,390
2017-04-11,39.197,39.237,38.886,39.13,408.4126609414816,390
2017-04-12,39.278,39.309,39.058,39.309,410.23262180387974,390
2017-04-13,39.385,39.488,39.127,39.16,353.33475103694946,390
2017-04-17,39.307,39.539,39.256,39.539,262.9208457833156,390
2017-04-18,39.099,39.228,38.956,39.05,436.89581048488617,390
2017-04-19,39.136,39.14,38.708,38.81,376.35200687497854,390
2017-04-20,39.206,39.29,39.106,39.279,404.918982042931,390
2017-04-21,39.297,39.34,39.206,39.33,334.9314538827166,390
2017-04-24,39.856,39.909,39.747,39.85,366.8148894235492,390
2017-04-25,40.139,40.299,40.099,40.22,333.3933047382161,390
2017-04-26,40.129,40.239,39.995,40.04,378.1078828750178,390
2017-04-27,40.115,40.079,39.876,39.979,348.19475003890693,390
2017-04-28,40.027,40.118,39.926,40.078,313.93466646410525,390
2017-05-01,40.235,40.389,40.146,40.27,254.16620920505375,390
2017-05-02,40.455,40.62,40.408,40.589,312.0062312204391,390
2017-05-03,40.408,40.439,40.198,40.29,291.0559275075793,390
2017-05-04,40.079,40.069,39.83,39.86,262.5954358475283,390
2017-05-05,39.789,40.178,39.785,40.179,283.9528447864577,390
2017-05-08,40.297,40.39,40.146,40.17,261.9286484187469,390
2017-05-09,40.475,40.798,40.466,40.69,287.9306953223422,390
2017-05-10,40.805,40.939,40.756,40.94,272.15305683016777,390
2017-05-11,41.009,41.1,40.808,41.049,303.3971444107592,390
2017-05-12,41.096,41.25,41.096,41.21,381.2530585359782,390
2017-05-15,41.427,41.649,41.398,41.639,305.44371230341494,390
2017-05-16,41.599,41.69,41.528,41.689,302.1301065403968,390
2017-05-17,41.307,41.359,40.94,40.969,351.7152276337147,390
2017-05-18,39.955,40.629,39.817,40.31,366.69730745628476,390
2017-05-19,40.869,41.22,40.866,41.16,368.3153797015548,390
2017-05-22,41.189,41.29,41.147,41.199,292.8082399815321,390
2017-05-23,41.205,41.269,41.118,41.22,285.56170918792486,390
2017-05-24,41.225,41.449,41.197,41.39,281.5016160290688,390
2017-05-25,41.608,41.709,41.496,41.589,331.041834525764,390
2017-05-26,41.658,41.75,41.616,41.72,324.5525034442544,390
2017-05-30,41.495,41.569,41.438,41.539,238.08794414717704,390
2017-05-31,41.395,41.39,41.117,41.228,513.0900412648916,390
2017-06-01,41.296,41.548,41.206,41.549,318.563145250082,390
2017-06-02,41.697,41.768,41.596,41.749,310.97242432646453,390
2017-06-05,41.729,41.829,41.666,41.729,287.52212971262634,390
2017-06-06,41.649,41.799,41.636,41.74,261.99745722906664,390
2017-06-07,41.585,41.74,41.448,41.67,352.9531283415854,390
2017-06-08,41.957,41.949,41.768,41.939,347.36129477620125,390
2017-06-09,41.957,42.018,41.376,41.619,428.9468790143728,390
2017-06-12,41.357,41.399,41.186,41.399,389.1883466830477,390
2017-06-13,41.598,41.627,41.446,41.599,337.5400897413492,390
2017-06-14,41.885,41.888,41.435,41.588,427.85477907117456,390
2017-06-15,41.067,41.16,40.896,41.159,332.7805043756962,390
2017-06-16,41.226,41.248,41.04,41.24,280.35727071389556,390
2017-06-19,41.447,41.69,41.436,41.62,278.3849641713314,390
2017-06-20,41.317,41.27,40.95,40.97,17.485379073303193,390
2017-06-21,41.12,41.26,41.0,41.08,6.359999906271696,390
2017-06-22,41.27,41.44,41.19,41.29,4.28999993391335,390
2017-06-23,41.34,41.57,41.32,41.51,3.4399999361485243,390
2017-06-26,41.88,41.99,41.76,41.9,4.019999917596579,390
2017-06-27,41.67,41.76,41.4,41.41,6.229999884963036,390
2017-06-28,41.54,41.76,41.43,41.71,4.569999923929572,390
2017-06-29,41.51,41.53,40.92,41.2,10.349999845027924,390
