date,usd_per_gbp
2021-12-01,1.3310588235
2021-12-02,1.3318846538
2021-12-03,1.3276032358
2021-12-06,1.3258857250
2021-12-07,1.3252799265
2021-12-08,1.3199303763
2021-12-09,1.3192209004
2021-12-10,1.3207193486
2021-12-13,1.3243617746
2021-12-14,1.3250922725
2021-12-15,1.3252530007
2021-12-16,1.3362409383
2021-12-17,1.3296873533
2021-12-20,1.3230444223
2021-12-21,1.3244606004
2021-12-22,1.3310954064
2021-12-23,1.3427838723
2021-12-24,1.3410515589
2021-12-27,1.3413968932
2021-12-28,1.3449577438
2021-12-29,1.3437555727
2021-12-30,1.3504110568
2021-12-31,1.3478840387
2022-01-03,1.3496166875
2022-01-04,1.3488722524
2022-01-05,1.3548224930
2022-01-06,1.3535822377
2022-01-07,1.3541891406
2022-01-10,1.3571068851
2022-01-11,1.3580113807
2022-01-12,1.3643235979
2022-01-13,1.3720749297
2022-01-14,1.3707668726
2022-01-17,1.3644358824
2022-01-18,1.3585027428
2022-01-19,1.3641063871
2022-01-20,1.3616765748
2022-01-21,1.3568806572
2022-01-24,1.3488777251
2022-01-25,1.3460274987
2022-01-26,1.3512185770
2022-01-27,1.3386431245
2022-01-28,1.3390560004
2022-01-31,1.3416232728
2022-02-01,1.3485352943
2022-02-02,1.3577552611
2022-02-03,1.3563599654
2022-02-04,1.3551948743
2022-02-07,1.3517151798
2022-02-08,1.3522515795
2022-02-09,1.3571894843
2022-02-10,1.3577770392
2022-02-11,1.3598465900
2022-02-14,1.3516483516
2022-02-15,1.3543842894
2022-02-16,1.3547772218
2022-02-17,1.3617908088
2022-02-18,1.3609829188
2022-02-21,1.3611371221
2022-02-22,1.3553205473
2022-02-23,1.3591651390
2022-02-24,1.3374788829
2022-02-25,1.3393838070
2022-02-28,1.3403949731
2022-03-01,1.3401368712
2022-03-02,1.3329972634
2022-03-03,1.3381175021
2022-03-04,1.3265281352
2022-03-07,1.3186081694
2022-03-08,1.3093706798
2022-03-09,1.3154241953
2022-03-10,1.3167805168
2022-03-11,1.3088007622
2022-03-14,1.3060835369
2022-03-15,1.3076273304
2022-03-16,1.3089965233
2022-03-17,1.3106801874
2022-03-18,1.3116473041
2022-03-21,1.3175768427
2022-03-22,1.3245542366
2022-03-23,1.3190441883
2022-03-24,1.3180770339
2022-03-25,1.3195010794
2022-03-28,1.3110481451
2022-03-29,1.3127664614
2022-03-30,1.3157054504
2022-03-31,1.3122524972
2022-04-01,1.3134470260
2022-04-04,1.3118369293
2022-04-05,1.3138100371
2022-04-06,1.3085668420
2022-04-07,1.3080886759
2022-04-08,1.3029812249
2022-04-11,1.3023789325
2022-04-12,1.3014199269
2022-04-13,1.2999519693
2022-04-14,1.3120567376
2022-04-19,1.3022723163
2022-04-20,1.3053697342
2022-04-21,1.3034732948
2022-04-22,1.2888888889
2022-04-25,1.2742796158
2022-04-26,1.2686753432
2022-04-27,1.2566644897
2022-04-28,1.2430349733
2022-04-29,1.2561376746
2022-05-02,1.2556974108
2022-05-03,1.2547248306
2022-05-04,1.2508017198
2022-05-05,1.2405211879
2022-05-06,1.2344525547
2022-05-09,1.2388103479
2022-05-10,1.2330159472
2022-05-11,1.2358155821
2022-05-12,1.2202642655
2022-05-13,1.2201139635
2022-05-16,1.2254688694
2022-05-17,1.2489336493
2022-05-18,1.2428250856
2022-05-19,1.2422103673
2022-05-20,1.2469936336
2022-05-23,1.2572095821
2022-05-24,1.2501457726
2022-05-25,1.2493112140
2022-05-26,1.2573907115
2022-05-27,1.2632695140
2022-05-30,1.2641221374
2022-05-31,1.2583100378
2022-06-01,1.2578970854
2022-06-02,1.2550032279
2022-06-03,1.2561461016
2022-06-06,1.2557513317
2022-06-07,1.2489896328
2022-06-08,1.2549225825
2022-06-09,1.2542467865
2022-06-10,1.2437682250
2022-06-13,1.2178217822
2022-06-14,1.2072350944
2022-06-15,1.2082985822
2022-06-16,1.2156633548
2022-06-17,1.2264327485
2022-06-20,1.2265009096
2022-06-21,1.2266015580
2022-06-22,1.2250101880
2022-06-23,1.2227038617
2022-06-24,1.2269595327
2022-06-27,1.2264501160
2022-06-28,1.2230457441
2022-06-29,1.2163865789
2022-06-30,1.2103239338
2022-07-01,1.2031437540
2022-07-04,1.2162633783
2022-07-05,1.1986720252
2022-07-06,1.1878472384
2022-07-07,1.1961694378
2022-07-08,1.2015132707
2022-07-11,1.1944641590
2022-07-12,1.1838770145
2022-07-13,1.1931824916
2022-07-14,1.1831835383
2022-07-15,1.1835788582
2022-07-18,1.1959909336
2022-07-19,1.2010128600
2022-07-20,1.1973749090
2022-07-21,1.1922380034
2022-07-22,1.1968381861
2022-07-25,1.2068904531
2022-07-26,1.1972847040
2022-07-27,1.2065891749
2022-07-28,1.2109683440
2022-07-29,1.2141921657
2022-08-01,1.2225806452
2022-08-02,1.2220163748
2022-08-03,1.2189551471
2022-08-04,1.2086998848
2022-08-05,1.2143399630
2022-08-08,1.2117863720
2022-08-09,1.2108376716
2022-08-10,1.2117057489
2022-08-11,1.2223470293
2022-08-12,1.2140707077
2022-08-15,1.2082962963
2022-08-16,1.2029494882
2022-08-17,1.2070112103
2022-08-18,1.2060527781
2022-08-19,1.1836869246
2022-08-22,1.1813413972
2022-08-23,1.1769797138
2022-08-24,1.1786481260
2022-08-25,1.1827791157
2022-08-26,1.1830003547
2022-08-29,1.1690470616
2022-08-30,1.1715803608
2022-08-31,1.1623176614
2022-09-01,1.1568929030
2022-09-02,1.1555540137
2022-09-05,1.1487065472
2022-09-06,1.1578787773
2022-09-07,1.1426424691
2022-09-08,1.1550267725
2022-09-09,1.1569191803
2022-09-12,1.1702274770
2022-09-13,1.1723295657
2022-09-14,1.1549399986
2022-09-15,1.1493776888
2022-09-16,1.1389016018
2022-09-19,1.1380076323
2022-09-20,1.1426282968
2022-09-21,1.1342531631
2022-09-22,1.1327587788
2022-09-23,1.1058831533
2022-09-26,1.0789226433
2022-09-27,1.0802576309
2022-09-28,1.0596224576
2022-09-29,1.0846510588
2022-09-30,1.1039637599
2022-10-03,1.1213965775
2022-10-04,1.1333402083
2022-10-05,1.1352186856
2022-10-06,1.1257892513
2022-10-07,1.1211562890
2022-10-10,1.1053231506
2022-10-11,1.1086279831
2022-10-12,1.1049635701
2022-10-13,1.1257267694
2022-10-14,1.1191734909
2022-10-17,1.1291594203
2022-10-18,1.1313960979
2022-10-19,1.1239984826
2022-10-20,1.1243668202
2022-10-21,1.1091099763
2022-10-24,1.1313885380
2022-10-25,1.1315883089
2022-10-26,1.1573502073
2022-10-27,1.1570695717
2022-10-28,1.1554807246
2022-10-31,1.1512512338
2022-11-01,1.1558483813
2022-11-02,1.1507549361
2022-11-03,1.1181042784
2022-11-04,1.1285123117
2022-11-07,1.1468411086
2022-11-08,1.1439950560
2022-11-09,1.1437327682
2022-11-10,1.1402323077
2022-11-11,1.1775457516
2022-11-14,1.1791390993
2022-11-15,1.1896403865
2022-11-16,1.1901740910
2022-11-17,1.1796513290
2022-11-18,1.1906320710
2022-11-21,1.1805099490
2022-11-22,1.1896986961
2022-11-23,1.1954520719
2022-11-24,1.2117579975
2022-11-25,1.2080107120
2022-11-28,1.2081149112
2022-11-29,1.2023011436
2022-11-30,1.1997040052
2022-12-01,1.2196231698
2022-12-02,1.2274183216
2022-12-05,1.2298309810
2022-12-06,1.2203783219
2022-12-07,1.2185214332
2022-12-08,1.2194810916
2022-12-09,1.2285049447
2022-12-12,1.2280538567
2022-12-13,1.2296945879
2022-12-14,1.2365591398
2022-12-15,1.2322203402
2022-12-16,1.2173145484
2022-12-19,1.2165109392
2022-12-20,1.2108991203
2022-12-21,1.2134487912
2022-12-22,1.2049680995
2022-12-23,1.2066341020
2022-12-27,1.2027215197
2022-12-28,1.2082945331
2022-12-29,1.2026109837
2022-12-30,1.2025751750
2023-01-02,1.2053480763
2023-01-03,1.1976421952
2023-01-04,1.2033925246
2023-01-05,1.2005254635
2023-01-06,1.1867759254
