"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"CAT_IBKR_V2_D1";"Buy";"2022.01.14 00:00:00";"224.006";"1.0";"2022.01.21 00:00:00";"212.471";"-11,53";"9988,46";"IST";"SL";"-11,53";"6,29";"7d 0h 0m";""
"2";"CAT_IBKR_V2_D1";"Buy";"2022.01.27 00:00:00";"215.017";"1.0";"2022.01.28 00:00:00";"202.161";"-12,86";"9975,61";"IST";"SL";"-12,86";"2,68";"1d 0h 0m";""
"3";"CAT_IBKR_V2_D1";"Buy";"2022.02.03 00:00:00";"204.486";"1.0";"2022.02.22 00:00:00";"190.631";"-13,85";"9961,75";"IST";"SL";"-13,85";"2,16";"19d 0h 0m";""
"4";"CAT_IBKR_V2_D1";"Buy";"2022.02.24 00:00:00";"182.027";"1.0";"2022.03.02 00:00:00";"192.778";"10,75";"9972,50";"IST";"PT";"-2,43";"10,75";"6d 0h 0m";""
"5";"CAT_IBKR_V2_D1";"Buy";"2022.03.04 00:00:00";"190.996";"1.0";"2022.03.07 00:00:00";"202.237";"11,24";"9983,75";"IST";"PT";"-0,35";"11,24";"3d 0h 0m";""
"6";"CAT_IBKR_V2_D1";"Buy";"2022.03.09 00:00:00";"211.157";"1.0";"2022.03.21 00:00:00";"223.479";"12,32";"9996,07";"IST";"PT";"-4,06";"12,32";"12d 0h 0m";""
"7";"CAT_IBKR_V2_D1";"Buy";"2022.04.01 00:00:00";"224.196";"1.0";"2022.04.20 00:00:00";"235.750";"11,55";"10007,62";"IST";"PT";"-10,74";"11,55";"19d 0h 0m";""
"8";"CAT_IBKR_V2_D1";"Buy";"2022.04.28 00:00:00";"206.876";"1.0";"2022.05.04 00:00:00";"219.468";"12,59";"10020,21";"IST";"PT";"-4,88";"12,59";"6d 0h 0m";""
"9";"CAT_IBKR_V2_D1";"Buy";"2022.05.05 00:00:00";"221.886";"1.0";"2022.05.09 00:00:00";"206.232";"-15,65";"10004,56";"IST";"SL";"-15,65";"0,77";"4d 0h 0m";""
"10";"CAT_IBKR_V2_D1";"Buy";"2022.05.13 00:00:00";"204.997";"1.0";"2022.06.01 00:00:00";"218.621";"13,62";"10018,18";"IST";"PT";"-10,99";"13,62";"19d 0h 0m";""
"11";"CAT_IBKR_V2_D1";"Buy";"2022.06.16 00:00:00";"201.006";"1.0";"2022.06.23 00:00:00";"185.194";"-15,81";"10002,37";"IST";"SL";"-15,81";"0,00";"7d 0h 0m";""
"12";"CAT_IBKR_V2_D1";"Buy";"2022.06.28 00:00:00";"188.997";"1.0";"2022.07.05 00:00:00";"172.252";"-16,75";"9985,63";"IST";"SL";"-16,75";"3,79";"7d 0h 0m";""
