"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"CAT_IBKR_V2_D1";"Buy";"2022.01.14 00:00:00";"224.006";"4.0";"2022.01.21 00:00:00";"212.471";"-46,14";"953,86";"IST";"SL";"-46,14";"25,16";"7d 0h 0m";""
"2";"CAT_IBKR_V2_D1";"Buy";"2022.01.27 00:00:00";"215.017";"4.0";"2022.01.28 00:00:00";"202.161";"-51,42";"902,44";"IST";"SL";"-51,42";"10,72";"1d 0h 0m";""
"3";"CAT_IBKR_V2_D1";"Buy";"2022.02.03 00:00:00";"204.486";"4.0";"2022.02.22 00:00:00";"190.631";"-55,42";"847,02";"IST";"SL";"-55,42";"8,64";"19d 0h 0m";""
"4";"CAT_IBKR_V2_D1";"Buy";"2022.02.24 00:00:00";"182.027";"5.0";"2022.03.02 00:00:00";"192.778";"53,76";"900,77";"IST";"PT";"-12,15";"53,76";"6d 0h 0m";""
"5";"CAT_IBKR_V2_D1";"Buy";"2022.03.04 00:00:00";"190.996";"5.0";"2022.03.07 00:00:00";"202.237";"56,21";"956,98";"IST";"PT";"-1,75";"56,21";"3d 0h 0m";""
"6";"CAT_IBKR_V2_D1";"Buy";"2022.03.09 00:00:00";"211.157";"4.0";"2022.03.21 00:00:00";"223.479";"49,29";"1006,26";"IST";"PT";"-16,24";"49,29";"12d 0h 0m";""
"7";"CAT_IBKR_V2_D1";"Buy";"2022.04.01 00:00:00";"224.196";"4.0";"2022.04.20 00:00:00";"235.750";"46,22";"1052,48";"IST";"PT";"-42,96";"46,22";"19d 0h 0m";""
"8";"CAT_IBKR_V2_D1";"Buy";"2022.04.28 00:00:00";"206.876";"4.0";"2022.05.04 00:00:00";"219.468";"50,37";"1102,85";"IST";"PT";"-19,52";"50,37";"6d 0h 0m";""
"9";"CAT_IBKR_V2_D1";"Buy";"2022.05.05 00:00:00";"221.886";"4.0";"2022.05.09 00:00:00";"206.232";"-62,62";"1040,23";"IST";"SL";"-62,62";"3,08";"4d 0h 0m";""
"10";"CAT_IBKR_V2_D1";"Buy";"2022.05.13 00:00:00";"204.997";"4.0";"2022.06.01 00:00:00";"218.621";"54,50";"1094,73";"IST";"PT";"-43,96";"54,50";"19d 0h 0m";""
