"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"JPM_MOM60_V1_D1";"Buy";"2022.11.01 00:00:00";"126.407";"1.0";"2022.11.30 00:00:00";"135.397";"8,99";"10008,99";"IST";"Exit After X Bars";"-0,52";"10,69";"29d 0h 0m";""
"2";"JPM_MOM60_V1_D1";"Buy";"2022.12.01 00:00:00";"138.106";"1.0";"2022.12.30 00:00:00";"132.526";"-5,58";"10003,41";"IST";"Exit After X Bars";"-9,70";"0,46";"29d 0h 0m";""
"3";"JPM_MOM60_V1_D1";"Buy";"2023.01.03 00:00:00";"134.997";"1.0";"2023.02.01 00:00:00";"138.127";"3,13";"10006,54";"IST";"Exit After X Bars";"-1,48";"8,44";"29d 0h 0m";""
"4";"JPM_MOM60_V1_D1";"Buy";"2023.02.01 00:00:00";"138.127";"1.0";"2023.03.02 00:00:00";"141.747";"3,62";"10010,16";"IST";"Exit After X Bars";"-0,70";"6,10";"29d 0h 0m";""
"5";"JPM_MOM60_V1_D1";"Buy";"2023.07.03 00:00:00";"146.027";"1.0";"2023.08.01 00:00:00";"157.447";"11,42";"10021,58";"IST";"Exit After X Bars";"-4,60";"13,15";"29d 0h 0m";""
"6";"JPM_MOM60_V1_D1";"Buy";"2023.08.01 00:00:00";"157.447";"1.0";"2023.08.29 00:00:00";"147.007";"-10,44";"10011,14";"IST";"Exit After X Bars";"-12,01";"0,45";"28d 0h 0m";""
"7";"JPM_MOM60_V1_D1";"Buy";"2023.09.01 00:00:00";"146.156";"1.0";"2023.10.02 00:00:00";"144.606";"-1,55";"10009,59";"IST";"Exit After X Bars";"-3,53";"4,00";"31d 0h 0m";""
"8";"JPM_MOM60_V1_D1";"Buy";"2023.10.02 00:00:00";"144.606";"1.0";"2023.10.30 00:00:00";"136.327";"-8,28";"10001,31";"IST";"Exit After X Bars";"-9,43";"8,45";"28d 0h 0m";""
"9";"JPM_MOM60_V1_D1";"Buy";"2023.12.01 00:00:00";"155.847";"1.0";"2024.01.02 00:00:00";"168.996";"13,15";"10014,46";"IST";"Exit After X Bars";"-0,69";"14,77";"32d 0h 0m";""
"10";"JPM_MOM60_V1_D1";"Buy";"2024.01.02 00:00:00";"168.996";"1.0";"2024.01.31 00:00:00";"176.076";"7,08";"10021,54";"IST";"Exit After X Bars";"-4,69";"7,72";"29d 0h 0m";""
"11";"JPM_MOM60_V1_D1";"Buy";"2024.02.01 00:00:00";"173.577";"1.0";"2024.03.01 00:00:00";"186.017";"12,44";"10033,98";"IST";"Exit After X Bars";"-2,18";"12,73";"29d 0h 0m";""
"12";"JPM_MOM60_V1_D1";"Buy";"2024.03.01 00:00:00";"186.017";"1.0";"2024.04.01 00:00:00";"199.966";"13,95";"10047,93";"IST";"Exit After X Bars";"-1,76";"14,66";"31d 0h 0m";""
"13";"JPM_MOM60_V1_D1";"Buy";"2024.04.01 00:00:00";"199.966";"1.0";"2024.04.29 00:00:00";"193.557";"-6,41";"10041,52";"IST";"Exit After X Bars";"-20,77";"0,64";"28d 0h 0m";""
"14";"JPM_MOM60_V1_D1";"Buy";"2024.05.01 00:00:00";"192.317";"1.0";"2024.05.30 00:00:00";"198.306";"5,99";"10047,51";"IST";"Exit After X Bars";"-3,89";"13,38";"29d 0h 0m";""
"15";"JPM_MOM60_V1_D1";"Buy";"2024.06.03 00:00:00";"201.986";"1.0";"2024.07.02 00:00:00";"204.856";"2,87";"10050,38";"IST";"Exit After X Bars";"-11,13";"4,85";"29d 0h 0m";""
"16";"JPM_MOM60_V1_D1";"Buy";"2024.08.01 00:00:00";"213.176";"1.0";"2024.08.29 00:00:00";"222.037";"8,86";"10059,24";"IST";"Exit After X Bars";"-22,32";"8,99";"28d 0h 0m";""
"17";"JPM_MOM60_V1_D1";"Buy";"2024.09.03 00:00:00";"222.077";"1.0";"2024.10.01 00:00:00";"208.487";"-13,59";"10045,65";"IST";"Exit After X Bars";"-21,49";"1,88";"28d 0h 0m";""
"18";"JPM_MOM60_V1_D1";"Buy";"2024.10.01 00:00:00";"208.487";"1.0";"2024.10.29 00:00:00";"224.937";"16,45";"10062,10";"IST";"Exit After X Bars";"-4,16";"17,38";"28d 0h 0m";""
"19";"JPM_MOM60_V1_D1";"Buy";"2024.11.01 00:00:00";"223.257";"1.0";"2024.12.02 00:00:00";"249.727";"26,47";"10088,57";"IST";"Exit After X Bars";"-4,11";"28,44";"31d 0h 0m";""
"20";"JPM_MOM60_V1_D1";"Buy";"2024.12.02 00:00:00";"249.727";"1.0";"2024.12.31 00:00:00";"239.636";"-10,09";"10078,48";"IST";"Exit After X Bars";"-20,62";"0,02";"29d 0h 0m";""
