"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"MSFT";"Buy";"2022.01.06 14:30:00";"313.15";"1.0";"2022.01.07 14:30:00";"314.15";"1,00";"10001,00";"IST";"Exit After X Bars";"-1,66";"5,55";"1d 0h 0m";""
"2";"MSFT";"Buy";"2022.02.24 14:30:00";"272.51";"1.0";"2022.02.25 14:30:00";"295.14";"22,63";"10023,63";"IST";"Exit After X Bars";"-0,99";"22,65";"1d 0h 0m";""
"3";"MSFT";"Buy";"2022.03.08 14:30:00";"277.80";"1.0";"2022.03.09 14:30:00";"283.44";"5,64";"10029,27";"IST";"Exit After X Bars";"-7,80";"6,16";"1d 0h 0m";""
"4";"MSFT";"Buy";"2022.04.12 13:30:00";"289.24";"1.0";"2022.04.13 13:30:00";"282.73";"-6,51";"10022,76";"IST";"Exit After X Bars";"-8,75";"1,50";"1d 0h 0m";""
"5";"MSFT";"Buy";"2022.04.13 13:30:00";"282.73";"1.0";"2022.04.14 13:30:00";"288.09";"5,36";"10028,12";"IST";"Exit After X Bars";"-1,43";"5,85";"1d 0h 0m";""
"6";"MSFT";"Buy";"2022.04.18 13:30:00";"278.91";"1.0";"2022.04.19 13:30:00";"279.38";"0,47";"10028,59";"IST";"Exit After X Bars";"-0,57";"3,55";"1d 0h 0m";""
"7";"MSFT";"Buy";"2022.05.10 13:30:00";"271.69";"1.0";"2022.05.11 13:30:00";"265.68";"-6,01";"10022,58";"IST";"Exit After X Bars";"-6,62";"2,06";"1d 0h 0m";""
"8";"MSFT";"Buy";"2022.08.29 13:30:00";"265.85";"1.0";"2022.08.30 13:30:00";"266.67";"0,82";"10023,40";"IST";"Exit After X Bars";"-2,00";"1,55";"1d 0h 0m";""
"9";"MSFT";"Buy";"2022.11.04 13:30:00";"217.55";"1.0";"2022.11.07 14:30:00";"221.99";"4,44";"10027,84";"IST";"Exit After X Bars";"-4,12";"4,44";"3d 1h 0m";""
"10";"MSFT";"Buy";"2023.01.06 14:30:00";"223.00";"1.0";"2023.01.09 14:30:00";"226.45";"3,45";"10031,29";"IST";"Exit After X Bars";"-3,65";"3,45";"3d 0h 0m";""
"11";"MSFT";"Buy";"2024.04.16 13:30:00";"414.57";"1.0";"2024.04.17 13:30:00";"417.25";"2,68";"10033,97";"IST";"Exit After X Bars";"-0,84";"3,83";"1d 0h 0m";""
"12";"MSFT";"Buy";"2024.05.01 13:30:00";"392.61";"1.0";"2024.05.02 13:30:00";"397.66";"5,05";"10039,02";"IST";"Exit After X Bars";"-2,30";"9,11";"1d 0h 0m";""
"13";"MSFT";"Buy";"2024.07.25 13:30:00";"428.80";"1.0";"2024.07.26 13:30:00";"418.20";"-10,60";"10028,42";"IST";"Exit After X Bars";"-11,29";"1,00";"1d 0h 0m";""
"14";"MSFT";"Buy";"2024.07.26 13:30:00";"418.20";"1.0";"2024.07.29 13:30:00";"431.58";"13,38";"10041,80";"IST";"Exit After X Bars";"-0,93";"13,38";"3d 0h 0m";""
"15";"MSFT";"Buy";"2024.11.01 13:30:00";"409.01";"1.0";"2024.11.04 14:30:00";"409.80";"0,79";"10042,59";"IST";"Exit After X Bars";"-1,51";"6,49";"3d 1h 0m";""
