date,open,high,low,close,volume,minutes
2017-05-11,116.197,116.766,116.175,116.509,106.71261697262526,390
2017-05-12,117.058,117.139,116.719,116.879,75.0397079391405,390
2017-05-15,117.518,117.5,116.986,117.14,86.83828695863485,390
2017-05-16,117.427,117.889,117.396,117.66,94.4285020492971,390
2017-05-17,119.355,119.947,119.266,119.846,150.52910792827606,390
2017-05-18,119.757,119.765,118.556,118.869,180.41817843914032,390
2017-05-19,119.378,119.528,118.867,119.439,120.31620119139552,390
2017-05-22,119.617,120.129,119.567,119.909,90.95321612991393,390
2017-05-23,120.118,120.166,118.976,119.129,123.12834388762712,390
2017-05-24,119.069,119.689,118.906,119.649,118.84402815625072,390
2017-05-25,119.516,119.668,119.286,119.508,95.81519490480423,390
2017-05-26,120.479,120.78,120.326,120.578,82.21108701080084,390
2017-05-30,120.218,120.317,119.946,120.14,75.5894429218024,390
2017-05-31,120.297,121.169,120.246,120.639,112.75629089772701,390
2017-06-01,120.148,120.708,120.068,120.7,93.60151717066765,390
2017-06-02,121.326,121.688,121.187,121.609,112.44340308755636,390
2017-06-05,121.896,121.92,121.568,121.75,67.27856489364058,390
2017-06-06,123.09,123.278,122.766,123.107,101.1479229554534,390
2017-06-07,122.758,123.12,122.015,122.459,110.03274385817349,390
2017-06-08,122.058,122.0,120.936,121.64,111.63070091977715,390
2017-06-09,120.426,120.888,120.396,120.569,117.12408505752683,390
2017-06-12,120.328,120.648,120.256,120.397,118.032614832744,390
2017-06-13,119.935,120.686,119.916,120.498,92.38015103898942,390
2017-06-14,121.507,121.569,119.566,119.859,169.46858598291874,390
2017-06-15,119.209,119.48,119.118,119.319,100.93915091454983,390
2017-06-16,119.326,119.478,119.237,119.319,84.99306198395789,390
2017-06-19,118.719,118.829,118.328,118.42,90.10639278031886,390
2017-06-20,118.409,118.45,118.07,118.2,31.736021971562877,390
2017-06-21,118.15,118.62,118.15,118.53,29.779999939724803,390
2017-06-22,119.12,119.17,118.59,118.91,25.26999997533858,390
2017-06-23,119.64,119.62,119.32,119.44,19.079999934881926,390
2017-06-26,118.28,118.52,118.17,118.36,26.739999908953905,390
2017-06-27,118.87,118.99,118.48,118.8,35.9399999268353,390
2017-06-28,119.05,119.03,118.68,118.91,28.320000059902668,390
2017-06-29,117.95,118.61,117.9,118.32,47.15999997779727,390
2017-06-30,118.07,118.39,117.95,118.04,32.59999988786876,390
2017-07-03,116.5,116.8,115.99,116.07,29.200000002980232,390
2017-07-05,115.89,116.64,115.86,116.54,41.40000003390014,390
2017-07-06,116.58,116.58,116.24,116.46,38.869999876245856,390
