"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.01.04 00:00:00";"59.916";"1.0";"2024.02.01 00:00:00";"60.909";"0,99";"10000,99";"IST";"PT";"-1,27";"0,99";"28d 0h 0m";""
"2";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.02.06 00:00:00";"59.867";"1.0";"2024.02.21 00:00:00";"60.917";"1,05";"10002,04";"IST";"PT";"-1,08";"1,05";"15d 0h 0m";""
"3";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.03.20 00:00:00";"60.177";"1.0";"2024.03.27 00:00:00";"61.185";"1,01";"10003,05";"IST";"PT";"-0,06";"1,01";"7d 0h 0m";""
"4";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.03.28 00:00:00";"60.896";"1.0";"2024.04.04 00:00:00";"59.243";"-1,65";"10001,40";"IST";"SL";"-1,65";"0,38";"7d 0h 0m";""
"5";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.04.08 00:00:00";"59.177";"1.0";"2024.04.19 00:00:00";"60.166";"0,99";"10002,39";"IST";"PT";"-1,25";"0,99";"11d 0h 0m";""
"6";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.04.29 00:00:00";"61.866";"1.0";"2024.05.09 00:00:00";"63.054";"1,19";"10003,58";"IST";"PT";"-0,66";"1,19";"10d 0h 0m";""
"7";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.05.13 00:00:00";"63.227";"1.0";"2024.05.29 00:00:00";"61.097";"-2,13";"10001,45";"IST";"SL";"-2,13";"0,48";"16d 0h 0m";""
"8";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.07.22 00:00:00";"65.246";"1.0";"2024.07.25 00:00:00";"66.424";"1,18";"10002,62";"IST";"PT";"-0,94";"1,18";"3d 0h 0m";""
"9";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.08.02 00:00:00";"68.347";"1.0";"2024.08.21 00:00:00";"69.717";"1,37";"10003,99";"IST";"PT";"-0,66";"1,37";"19d 0h 0m";""
"10";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.08.23 00:00:00";"69.357";"1.0";"2024.08.26 00:00:00";"70.673";"1,32";"10005,31";"IST";"PT";"-0,43";"1,32";"3d 0h 0m";""
"11";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.09.05 00:00:00";"72.647";"1.0";"2024.09.20 00:00:00";"70.366";"-2,28";"10003,03";"IST";"SL";"-2,28";"0,00";"15d 0h 0m";""
"12";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.09.24 00:00:00";"71.197";"1.0";"2024.10.01 00:00:00";"72.657";"1,46";"10004,49";"IST";"PT";"-0,65";"1,46";"7d 0h 0m";""
"13";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.10.07 00:00:00";"70.027";"1.0";"2024.10.23 00:00:00";"66.866";"-3,16";"10001,33";"IST";"SL";"-3,16";"1,14";"16d 0h 0m";""
"14";"KO_IBKR_TREND_PULLBACK_V1_D1";"Buy";"2024.11.29 00:00:00";"63.967";"1.0";"2024.12.23 00:00:00";"61.727";"-2,24";"9999,09";"IST";"SL";"-2,24";"0,27";"24d 0h 0m";""
