date,open,high,low,close,volume,minutes
2017-01-26,23.72,23.79,23.61,23.73,9.025299995206296,390
2017-01-27,23.71,23.71,23.57,23.63,12.314590004272759,390
2017-01-30,23.48,23.48,23.25,23.47,50.90237003285438,390
2017-01-31,23.32,23.51,23.18,23.31,44.93404986616224,390
2017-02-01,23.46,23.59,23.25,23.32,13.819269919767976,390
2017-02-02,23.16,23.33,23.1,23.24,496.57534309336916,390
2017-02-03,23.626,23.73,23.44,23.69,612.3001975710504,390
2017-02-06,23.566,23.77,23.547,23.608,1044.5487518957816,390
2017-02-07,23.73,23.75,23.52,23.55,351.0535087999888,390
2017-02-08,23.447,23.43,23.28,23.38,22.938211786560714,390
2017-02-09,23.456,23.73,23.41,23.72,22.79570284439251,390
2017-02-10,23.84,23.85,23.69,23.768,12.877750826999545,390
2017-02-13,23.92,24.14,23.89,24.03,43.62359040044248,390
2017-02-14,24.019,24.35,23.99,24.32,14.748029930982739,390
2017-02-15,24.439,24.56,24.26,24.5,13.15635192533955,390
2017-02-16,24.487,24.51,24.31,24.47,16.00835198769346,390
2017-02-17,24.289,24.46,24.24,24.46,30.515264085493982,390
2017-02-21,24.585,24.63,24.51,24.58,111.63433207385242,390
2017-02-22,24.468,24.67,24.45,24.59,74.39661433035508,390
2017-02-23,24.559,24.669,24.47,24.62,30.53122494602576,390
2017-02-24,24.345,24.46,24.31,24.43,58.04850008664653,390
2017-02-27,24.357,24.59,24.357,24.55,25.809086936526,390
2017-02-28,24.457,24.54,24.38,24.52,15.689270028844476,390
2017-03-01,24.997,25.28,24.98,25.23,12.605019986163825,390
2017-03-02,25.266,25.26,24.84,24.85,23.28733991133049,390
2017-03-03,24.809,25.02,24.809,24.95,14.844135008286685,390
2017-03-06,24.735,24.85,24.67,24.79,61.75379614159465,390
2017-03-07,24.789,24.81,24.65,24.72,57.475689840037376,390
2017-03-08,24.978,25.04,24.71,24.73,19.727725082309917,390
2017-03-09,24.82,24.93,24.7,24.8,14.724509966559708,390
2017-03-10,24.926,24.91,24.63,24.79,15.671045012772083,390
